ID,Total,Friday,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,zero,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,thirteen,fourteen,fifteen,sixteen,seventeen,eighteen,nineteen,twenty,twentyone,twentytwo,twentythree
92617,3496,454,1020,1011,311,235,230,235,452,343,219,131,69,42,21,18,24,21,28,29,39,37,55,56,44,66,111,141,235,277,492,546
91419,10543,1613,2513,2297,945,976,1013,1186,1377,934,493,261,145,90,52,47,55,84,88,140,176,250,287,299,292,346,362,408,564,800,1337,1656
91717,2121,327,523,423,195,202,171,280,343,170,107,37,46,20,55,73,29,35,31,14,22,13,30,34,33,26,55,56,98,186,269,339
92618,1416,140,337,380,123,120,170,146,175,124,62,33,21,15,6,18,16,15,24,13,24,21,31,18,23,22,36,52,92,106,231,238
90624,11935,1642,2912,3523,1168,803,905,982,1349,1138,762,507,349,228,130,85,70,78,103,108,138,178,189,241,276,301,439,528,762,1011,1393,1572
92620,4231,480,982,1111,510,360,389,399,469,312,145,66,45,25,29,31,50,52,95,71,77,144,142,127,131,168,116,185,240,316,534,661
92319,3280,426,970,721,330,246,302,285,462,289,116,78,44,31,12,15,30,39,25,38,32,47,50,57,58,65,106,127,198,281,514,566
92709,1713,189,541,432,98,136,144,173,169,115,44,23,10,1,5,2,1,9,11,31,37,37,44,48,66,94,110,136,140,163,223,194
92512,1493,195,424,301,135,156,147,135,122,90,50,42,19,26,18,16,7,17,13,31,38,41,50,34,61,62,82,109,135,137,153,140
92820,770,105,164,180,95,77,68,81,84,55,47,20,8,3,9,4,3,8,8,13,12,19,39,24,20,15,17,22,58,64,103,115
92518,6173,766,1478,1587,654,521,608,559,447,370,176,109,62,47,119,255,340,399,310,174,94,76,97,123,122,129,223,472,539,480,519,491
92718,1155,108,315,390,115,74,70,83,150,116,53,35,24,21,6,4,9,9,23,14,16,19,19,16,23,18,26,51,65,78,142,218
92203,960,134,309,316,59,40,52,50,79,70,69,42,23,9,4,3,5,8,9,7,15,16,24,31,36,29,50,50,71,87,100,123
